Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
"Accidente colective de munca pe macroregiuni, regiuni de dezvoltare si judete",ACC101B
Accidente colective de munca pe activitati economice CAEN Rev.2,ACC101C
Accidentati in munca pe activitati economice CAEN Rev.1 si categorii de accidente de munca,ACC102A
"Accidentati in munca pe categorii de accidente, macroregiuni, regiuni de dezvoltare si judete",ACC102B
Accidentati in munca pe categorii de accidente de munca si activitati economice CAEN Rev.2,ACC102C
"Organizarea administrativa a teritoriului, pe categorii de unitati administrative, macroregiuni, regiuni de dezvoltare si judete",ADM101A
"Suprafata fondului funciar dupa modul de folosinta, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR101A
"Suprafata fondului funciar dupa modul de folosinta, pe judete si localitati",AGR101B
"Suprafata terenurilor amenajate cu lucrari de irigatii si suprafata agricola irigata, pe categorii de folosinta a terenurilor, macroregiuni, regiuni de dezvoltare si judete",AGR102A
"Suprafata terenurilor amenajate cu lucrari de desecare, pe categorii de folosinta a terenurilor, macroregiuni, regiuni de dezvoltare si judete",AGR102B
"Suprafata terenurilor amenajate cu lucrari de ameliorare si combaterea eroziunii solului, pe categorii de folosinta a terenurilor, macroregiuni, regiuni de dezvoltare si judete",AGR102C
"Parcul de tractoare si masini agricole principale din agricultura (la sfarsitul anului) pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR103A
"Cantitatea de ingrasaminte chimice si naturale folosite in agricultura, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR104A
"Suprafata terenurilor pe care s-au aplicat ingrasaminte chimice si naturale pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR105A
"Cantitatea de pesticide aplicate in agricultura, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR106A
"Suprafata terenurilor pe care s-au aplicat pesticide, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR107A
"Suprafata cultivata cu principalele culturi, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR108A
"Suprafata cultivata cu principalele culturi, pe judete si localitati",AGR108B
"Productia agricola vegetala la principalele culturi, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR109A
"Productia agricola vegetala la principalele culturi, pe judete si localitati",AGR109B
"Productia medie la hectar, la principalele culturi, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR110A
"Suprafata viilor pe rod, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR111A
"Productia totala de struguri, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR112A
Productia totala de struguri pe judete si localitati,AGR112B
"Productia medie de struguri la hectar, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR113A
"Numarul pomilor fructiferi, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR114A
"Productia de fructe pe specii de pomi, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR115A
Productia de fructe pe judete si localitati,AGR115B
"Productia medie de fructe pe specii de pomi, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR116A
"Productia principalelor produse agricole, pe locuitor",AGR200A
"Efectivele de animale, pe categorii de animale, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete, la sfarsitul anului",AGR201A
"Efectivele de animale, pe principalele categorii de animale, forme de proprietate, judete si localitati, la sfarsitul anului",AGR201B
"Animale ce revin la 100 ha teren, pe principalele categorii de animale, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete, la sfarsitul anului",AGR201C
"Efectivele de porcine existente la 1 aprilie, pe grupe de greutate si destinatie economica",AGR201D
"Efectivele de bovine existente la 1 iunie, pe grupe de varsta si destinatie economica",AGR201E
"Efectivele de porcine existente la 1 august, pe grupe de greutate si destinatie economica",AGR201F
"Efectivele de porcine existente la 1 mai, pe grupe de greutate si destinatie economica",AGR201G
"Productia agricola animala pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR202A
Productia agricola animala pe judete si localitati,AGR202B
"Productia medie pe un animal, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR203A
"Valoarea productiei agricole, pe sectoare, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",AGR204A
"Indicii productiei agricole pe sectoare, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete - an de baza=an precedent",AGR205A
"Valoarea productiei ramurii agricole pe sectoare, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete - serie noua",AGR206A
